"filename", "language", "Python", "toml", "pip requirements", "JSON", "Ini", "comment", "blank", "total"
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/simple_regression_demo/processing/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/simple_regression_demo/processing/database_management.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/simple_regression_demo/processing/errors.py", "Python", 2, 0, 0, 0, 0, 2, 2, 6
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/simple_regression_demo/processing/features.py", "Python", 15, 0, 0, 0, 0, 4, 6, 25
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/simple_regression_demo/processing/local_data_management.py", "Python", 73, 0, 0, 0, 0, 34, 9, 116
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/simple_regression_demo/processing/preprocessors.py", "Python", 12, 0, 0, 0, 0, 1, 4, 17
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/simple_regression_demo/processing/test_mod.py", "Python", 2, 0, 0, 0, 0, 0, 0, 2
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/simple_regression_demo/processing/transform_target.py", "Python", 7, 0, 0, 0, 0, 2, 2, 11
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/simple_regression_demo/processing/validation.py", "Python", 4, 0, 0, 0, 0, 2, 4, 10
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/simple_regression_demo/train_pipeline.py", "Python", 17, 0, 0, 0, 0, 3, 7, 27
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/simple_regression_demo/trained_models/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/steven/Desktop/ml-api-demo/packages/simple_regression_demo/tox.ini", "Ini", 0, 0, 0, 0, 20, 0, 5, 25
"Total", "-", 543, 49, 94, 1697, 20, 156, 191, 2750
